승인일자,가맹점,금액,제출자,증빙파일명
2026-07-01,쿠팡비즈,24400,김서연,RC-202607-0001.jpg
2026-07-01,스시조 소공,229000,김서연,RC-202607-0002.jpg
2026-07-01,삼원가든 신사,425000,김서연,RC-202607-0003.jpg
2026-07-01,교보문고 광화문,196400,박도윤,RC-202607-0004.jpg
2026-07-01,김밥천국 역삼점,42500,서준영,RC-202607-0005.jpg
2026-07-01,카카오T 블루,47400,서준영,RC-202607-0006.jpg
2026-07-01,김가네 선릉점,67000,서준영,RC-202607-0007.jpg
2026-07-01,오피스디포 강남점,108300,서준영,RC-202607-0008.jpg
2026-07-01,호텔현대 울산,115000,서준영,RC-202607-0009.jpg
2026-07-01,하남돼지집 삼성점,169000,서준영,RC-202607-0010.jpg
2026-07-01,인프런,177100,서준영,RC-202607-0011.jpg
2026-07-01,오피스디포 강남점,127500,오하은,RC-202607-0012.jpg
2026-07-01,서브웨이 강남파이낸스,22500,윤채원,RC-202607-0013.jpg
2026-07-01,이디야커피 역삼점,75500,윤채원,RC-202607-0014.jpg
2026-07-01,하이패스 자동결제,66600,이하준,RC-202607-0015.jpg
2026-07-01,티머니 충전,87800,이하준,RC-202607-0016.jpg
2026-07-01,광화문곱창 강남,415000,이하준,RC-202607-0017.jpg
2026-07-01,이디야커피 역삼점,58500,임시우,RC-202607-0018.jpg
2026-07-01,명동칼국수 강남점,62500,임시우,RC-202607-0019.jpg
2026-07-01,서울개인택시조합,21700,정예린,RC-202607-0020.jpg
2026-07-01,본죽 삼성점,26000,정예린,RC-202607-0021.jpg
2026-07-01,명동칼국수 강남점,29000,정예린,RC-202607-0022.jpg
2026-07-01,본죽 삼성점,82500,정예린,RC-202607-0023.jpg
2026-07-01,스타벅스 삼성점,82500,정예린,RC-202607-0024.jpg
2026-07-01,삼원가든 신사,192000,정예린,RC-202607-0025.jpg
2026-07-01,김가네 선릉점,7500,조유나,RC-202607-0026.jpg
2026-07-01,명동칼국수 강남점,7500,조유나,RC-202607-0027.jpg
2026-07-01,알파문구 선릉,44500,조유나,RC-202607-0028.jpg
2026-07-01,김가네 선릉점,89500,조유나,RC-202607-0029.jpg
2026-07-01,김밥천국 역삼점,62000,최민서,RC-202607-0030.jpg
2026-07-01,투썸플레이스 선릉점,16000,한지훈,RC-202607-0031.jpg
2026-07-01,명동칼국수 강남점,26500,한지훈,RC-202607-0032.jpg
2026-07-01,카카오T 블루,39700,한지훈,RC-202607-0033.jpg
2026-07-01,일렉트로마트 강남,86800,한지훈,RC-202607-0034.jpg
2026-07-01,스타벅스 삼성점,87000,한지훈,RC-202607-0035.jpg
2026-07-01,신라스테이 역삼,127000,한지훈,RC-202607-0036.jpg
2026-07-02,다이소 역삼점,13400,강지호,RC-202607-0037.jpg
2026-07-02,카카오T 블루,39300,강지호,RC-202607-0038.jpg
2026-07-02,신라스테이 역삼,116000,강지호,RC-202607-0039.jpg
2026-07-02,한솥도시락 역삼,18500,김서연,RC-202607-0040.jpg
2026-07-02,다이소 역삼점,68800,김서연,RC-202607-0041.jpg
2026-07-02,파킹클라우드 역삼,63500,박도윤,RC-202607-0042.jpg
2026-07-02,영풍문고 종로,193800,박도윤,RC-202607-0043.jpg
2026-07-02,이디야커피 역삼점,75500,서준영,RC-202607-0044.jpg
2026-07-02,명동칼국수 강남점,34500,오하은,RC-202607-0045.jpg
2026-07-02,알파문구 선릉,35200,오하은,RC-202607-0046.jpg
2026-07-02,일렉트로마트 강남,75500,오하은,RC-202607-0047.jpg
2026-07-02,베스트웨스턴 구로,163000,오하은,RC-202607-0048.jpg
2026-07-02,서울개인택시조합,31400,윤채원,RC-202607-0049.jpg
2026-07-02,SRT 수서역,31700,윤채원,RC-202607-0050.jpg
2026-07-02,김밥천국 역삼점,87000,윤채원,RC-202607-0051.jpg
2026-07-02,일렉트로마트 강남,131700,윤채원,RC-202607-0052.jpg
2026-07-02,다이소 역삼점,73900,이하준,RC-202607-0053.jpg
2026-07-02,SRT 수서역,75400,이하준,RC-202607-0054.jpg
2026-07-02,SRT 수서역,8400,임시우,RC-202607-0055.jpg
2026-07-02,이디야커피 역삼점,21500,임시우,RC-202607-0056.jpg
2026-07-02,SRT 수서역,67900,임시우,RC-202607-0057.jpg
2026-07-02,SRT 수서역,85800,임시우,RC-202607-0058.jpg
2026-07-02,하남돼지집 삼성점,477000,임시우,RC-202607-0059.jpg
2026-07-02,한우다이닝 청담,588000,임시우,RC-202607-0060.jpg
2026-07-02,한솥도시락 역삼,41500,정예린,RC-202607-0061.jpg
2026-07-02,오피스디포 강남점,89100,정예린,RC-202607-0062.jpg
2026-07-02,일렉트로마트 강남,124800,정예린,RC-202607-0063.jpg
2026-07-02,미도인 역삼,22000,조유나,RC-202607-0064.jpg
2026-07-02,교보문고 광화문,32500,조유나,RC-202607-0065.jpg
2026-07-02,미도인 역삼,63000,조유나,RC-202607-0066.jpg
2026-07-02,하남돼지집 삼성점,212000,조유나,RC-202607-0067.jpg
2026-07-02,SRT 수서역,38800,최민서,RC-202607-0068.jpg
2026-07-02,청담물갈비,409000,최민서,RC-202607-0069.jpg
2026-07-02,서브웨이 강남파이낸스,10500,한지훈,RC-202607-0070.jpg
2026-07-02,김가네 선릉점,18000,한지훈,RC-202607-0071.jpg
2026-07-02,오피스디포 강남점,128800,한지훈,RC-202607-0072.jpg
2026-07-03,티머니 충전,51600,강지호,RC-202607-0073.jpg
2026-07-03,코레일 서울역,86800,강지호,RC-202607-0074.jpg
2026-07-03,SRT 수서역,32400,김서연,RC-202607-0075.jpg
2026-07-03,오피스디포 강남점,39400,김서연,RC-202607-0076.jpg
2026-07-03,서브웨이 강남파이낸스,81500,김서연,RC-202607-0077.jpg
2026-07-03,다이소 역삼점,111600,김서연,RC-202607-0078.jpg
2026-07-03,쿠팡비즈,114800,김서연,RC-202607-0079.jpg
2026-07-03,청담물갈비,395000,김서연,RC-202607-0080.jpg
2026-07-03,하남돼지집 삼성점,452000,김서연,RC-202607-0081.jpg
2026-07-03,스시조 소공,504000,김서연,RC-202607-0082.jpg
2026-07-03,본죽 삼성점,14500,박도윤,RC-202607-0083.jpg
2026-07-03,파킹클라우드 역삼,47300,박도윤,RC-202607-0084.jpg
2026-07-03,일렉트로마트 강남,55600,박도윤,RC-202607-0085.jpg
2026-07-03,하이패스 자동결제,82400,박도윤,RC-202607-0086.jpg
2026-07-03,호텔현대 울산,93000,박도윤,RC-202607-0087.jpg
2026-07-03,김가네 선릉점,24500,서준영,RC-202607-0088.jpg
2026-07-03,라마다 대전,105000,서준영,RC-202607-0089.jpg
2026-07-03,김밥천국 역삼점,9500,오하은,RC-202607-0090.jpg
2026-07-03,일렉트로마트 강남,27800,오하은,RC-202607-0091.jpg
2026-07-03,미도인 역삼,31500,오하은,RC-202607-0092.jpg
2026-07-03,서울개인택시조합,49100,오하은,RC-202607-0093.jpg
2026-07-03,스시조 소공,254000,오하은,RC-202607-0094.jpg
2026-07-03,티머니 충전,32500,윤채원,RC-202607-0095.jpg
2026-07-03,청담물갈비,327000,윤채원,RC-202607-0096.jpg
2026-07-03,김밥천국 역삼점,74000,이하준,RC-202607-0097.jpg
2026-07-03,라마다 대전,152000,이하준,RC-202607-0098.jpg
2026-07-03,영풍문고 종로,275100,이하준,RC-202607-0099.jpg
2026-07-03,청담물갈비,466000,이하준,RC-202607-0100.jpg
2026-07-03,이디야커피 역삼점,28500,임시우,RC-202607-0101.jpg
2026-07-03,파킹클라우드 역삼,68700,임시우,RC-202607-0102.jpg
2026-07-03,투썸플레이스 선릉점,23500,정예린,RC-202607-0103.jpg
2026-07-03,스타벅스 삼성점,54000,정예린,RC-202607-0104.jpg
2026-07-03,영풍문고 종로,118200,정예린,RC-202607-0105.jpg
2026-07-03,영풍문고 종로,288800,정예린,RC-202607-0106.jpg
2026-07-03,하남돼지집 삼성점,459000,정예린,RC-202607-0107.jpg
2026-07-03,김밥천국 역삼점,64000,조유나,RC-202607-0108.jpg
2026-07-03,다이소 역삼점,72000,최민서,RC-202607-0109.jpg
2026-07-03,김가네 선릉점,78000,최민서,RC-202607-0110.jpg
2026-07-03,코레일 서울역,86700,최민서,RC-202607-0111.jpg
2026-07-03,일렉트로마트 강남,107700,최민서,RC-202607-0112.jpg
2026-07-03,카카오T 블루,23900,한지훈,RC-202607-0113.jpg
2026-07-03,다이소 역삼점,42500,한지훈,RC-202607-0114.jpg
2026-07-04,서울개인택시조합,19700,김서연,RC-202607-0115.jpg
2026-07-04,파킹클라우드 역삼,62200,박도윤,RC-202607-0116.jpg
2026-07-04,광화문곱창 강남,275000,오하은,RC-202607-0117.jpg
2026-07-04,하이패스 자동결제,31700,정예린,RC-202607-0118.jpg
2026-07-04,서울개인택시조합,4800,최민서,RC-202607-0119.jpg
2026-07-04,쿠팡비즈,61200,한지훈,RC-202607-0120.jpg
2026-07-05,SRT 수서역,48600,강지호,RC-202607-0121.jpg
2026-07-05,이디야커피 역삼점,42000,김서연,RC-202607-0122.jpg
2026-07-05,신라스테이 역삼,141000,박도윤,RC-202607-0123.jpg
2026-07-05,티머니 충전,39400,서준영,RC-202607-0124.jpg
2026-07-05,김가네 선릉점,63000,최민서,RC-202607-0125.jpg
