승인일자,가맹점,금액,카드번호 뒤 4자리,사용자
2026-07-01,Microsoft 365 Business,341000,4417,김서연
2026-07-01,광화문곱창 강남,415000,4431,이하준
2026-07-01,교보문고 광화문,196400,4423,박도윤
2026-07-01,김가네 선릉점,7500,4524,조유나
2026-07-01,김가네 선릉점,67000,4518,서준영
2026-07-01,김가네 선릉점,89500,4524,조유나
2026-07-01,김밥천국 역삼점,42500,4518,서준영
2026-07-01,김밥천국 역삼점,62000,4452,최민서
2026-07-01,명동칼국수 강남점,7500,4524,조유나
2026-07-01,명동칼국수 강남점,26500,4502,한지훈
2026-07-01,명동칼국수 강남점,29000,4448,정예린
2026-07-01,명동칼국수 강남점,62500,4483,임시우
2026-07-01,본죽 삼성점,26000,4448,정예린
2026-07-01,본죽 삼성점,82500,4448,정예린
2026-07-01,삼원가든 신사,192000,4448,정예린
2026-07-01,삼원가든 신사,425000,4417,김서연
2026-07-01,서브웨이 강남파이낸스,22500,4471,윤채원
2026-07-01,서울개인택시조합,21700,4448,정예린
2026-07-01,스시조 소공,229000,4417,김서연
2026-07-01,스타벅스 삼성점,82500,4448,정예린
2026-07-01,스타벅스 삼성점,87000,4502,한지훈
2026-07-01,신라스테이 역삼,127000,4502,한지훈
2026-07-01,알파문구 선릉,44500,4524,조유나
2026-07-01,오피스디포 강남점,108300,4518,서준영
2026-07-01,오피스디포 강남점,127500,4496,오하은
2026-07-01,이디야커피 역삼점,58500,4483,임시우
2026-07-01,이디야커피 역삼점,75500,4471,윤채원
2026-07-01,인프런,177100,4518,서준영
2026-07-01,일렉트로마트 강남,86800,4502,한지훈
2026-07-01,카카오T 블루,39700,4502,한지훈
2026-07-01,카카오T 블루,47400,4518,서준영
2026-07-01,쿠팡비즈,24400,4417,김서연
2026-07-01,투썸플레이스 선릉점,16000,4502,한지훈
2026-07-01,티머니 충전,87800,4431,이하준
2026-07-01,하남돼지집 삼성점,169000,4518,서준영
2026-07-01,하이패스 자동결제,66600,4431,이하준
2026-07-01,호텔현대 울산,115000,4518,서준영
2026-07-02,SRT 수서역,8400,4483,임시우
2026-07-02,SRT 수서역,31700,4471,윤채원
2026-07-02,SRT 수서역,38800,4452,최민서
2026-07-02,SRT 수서역,67900,4483,임시우
2026-07-02,SRT 수서역,75400,4431,이하준
2026-07-02,SRT 수서역,85800,4483,임시우
2026-07-02,교보문고 광화문,32500,4524,조유나
2026-07-02,김가네 선릉점,18000,4502,한지훈
2026-07-02,김밥천국 역삼점,87000,4471,윤채원
2026-07-02,다이소 역삼점,13400,4465,강지호
2026-07-02,다이소 역삼점,68800,4417,김서연
2026-07-02,다이소 역삼점,73900,4431,이하준
2026-07-02,명동칼국수 강남점,34500,4496,오하은
2026-07-02,미도인 역삼,22000,4524,조유나
2026-07-02,미도인 역삼,63000,4524,조유나
2026-07-02,베스트웨스턴 구로,163000,4496,오하은
2026-07-02,서브웨이 강남파이낸스,10500,4502,한지훈
2026-07-02,서울개인택시조합,31400,4471,윤채원
2026-07-02,신라스테이 역삼,116000,4465,강지호
2026-07-02,알파문구 선릉,35200,4496,오하은
2026-07-02,영풍문고 종로,193800,4423,박도윤
2026-07-02,오피스디포 강남점,89100,4448,정예린
2026-07-02,오피스디포 강남점,128800,4502,한지훈
2026-07-02,이디야커피 역삼점,21500,4483,임시우
2026-07-02,이디야커피 역삼점,75500,4518,서준영
2026-07-02,일렉트로마트 강남,75500,4496,오하은
2026-07-02,일렉트로마트 강남,124800,4448,정예린
2026-07-02,일렉트로마트 강남,131700,4471,윤채원
2026-07-02,청담물갈비,409000,4452,최민서
2026-07-02,카카오T 블루,39300,4465,강지호
2026-07-02,파킹클라우드 역삼,63500,4423,박도윤
2026-07-02,하남돼지집 삼성점,212000,4524,조유나
2026-07-02,하남돼지집 삼성점,477000,4483,임시우
2026-07-02,한솥도시락 역삼,18500,4417,김서연
2026-07-02,한솥도시락 역삼,41500,4448,정예린
2026-07-02,한우다이닝 청담,588000,4483,임시우
2026-07-03,SRT 수서역,32400,4417,김서연
2026-07-03,김가네 선릉점,24500,4518,서준영
2026-07-03,김가네 선릉점,78000,4452,최민서
2026-07-03,김밥천국 역삼점,9500,4496,오하은
2026-07-03,김밥천국 역삼점,64000,4524,조유나
2026-07-03,김밥천국 역삼점,74000,4431,이하준
2026-07-03,다이소 역삼점,42500,4502,한지훈
2026-07-03,다이소 역삼점,72000,4452,최민서
2026-07-03,다이소 역삼점,111600,4417,김서연
2026-07-03,라마다 대전,105000,4518,서준영
2026-07-03,라마다 대전,152000,4431,이하준
2026-07-03,미도인 역삼,31500,4496,오하은
2026-07-03,본죽 삼성점,14500,4423,박도윤
2026-07-03,서브웨이 강남파이낸스,81500,4417,김서연
2026-07-03,서울개인택시조합,49100,4496,오하은
2026-07-03,스시조 소공,254000,4496,오하은
2026-07-03,스시조 소공,504000,4417,김서연
2026-07-03,스타벅스 삼성점,54000,4448,정예린
2026-07-03,영풍문고 종로,118200,4448,정예린
2026-07-03,영풍문고 종로,275100,4431,이하준
2026-07-03,영풍문고 종로,288800,4448,정예린
2026-07-03,오피스디포 강남점,39400,4417,김서연
2026-07-03,이디야커피 역삼점,28500,4483,임시우
2026-07-03,일렉트로마트 강남,27800,4496,오하은
2026-07-03,일렉트로마트 강남,55600,4423,박도윤
2026-07-03,일렉트로마트 강남,107700,4452,최민서
2026-07-03,청담물갈비,327000,4471,윤채원
2026-07-03,청담물갈비,395000,4417,김서연
2026-07-03,청담물갈비,466000,4431,이하준
2026-07-03,카카오T 블루,23900,4502,한지훈
2026-07-03,코레일 서울역,86700,4452,최민서
2026-07-03,코레일 서울역,86800,4465,강지호
2026-07-03,쿠팡비즈,114800,4417,김서연
